customerkey,geographykey,fullname,gender,yearlyincome,datefirstpurchase,city,state,region,postalcode
15624,217,TyroneRubio,M,40000,17-08-2021,Paris La Defense,Hauts de Seine,France,92081
15625,142,ClintonAlvarez,M,40000,08-02-2021,Bonn,Hamburg,Germany,53001
15626,155,EduardoWhite,M,40000,28-02-2021,Bottrop,Nordrhein-Westfalen,Germany,46236
15627,146,TroySrini,M,40000,17-02-2021,Frankfurt am Main,Hamburg,Germany,60355
15628,161,BriannaSandberg,F,40000,17-10-2022,Solingen,Nordrhein-Westfalen,Germany,42651
15629,162,MeghanRuiz,F,10000,31-12-2022,Werne,Nordrhein-Westfalen,Germany,59368
15630,260,NicholeTang,F,20000,24-10-2020,Milton Keynes,England,United Kingdom,MK8 8ZD
15631,263,ClaytonAndersen,M,20000,24-10-2020,Oxford,England,United Kingdom,OX14 4SE
15632,245,GloriaCarlson,F,20000,09-11-2020,London,England,United Kingdom,E17 6JF
15633,128,AshleeShan,F,20000,21-05-2022,Dresden,Hessen,Germany,1071
15634,271,DaltonKelly,M,30000,18-06-2022,Warrington,England,United Kingdom,WA1
15635,261,SheilaMartin,F,30000,13-05-2022,Newcastle upon Tyne,England,United Kingdom,NT20
15636,127,DavidWhite,M,40000,11-06-2022,Darmstadt,Hessen,Germany,64283
15637,179,RussellSharma,M,40000,04-08-2021,Saint Ouen,Charente-Maritime,France,17490
15638,259,RosaHe,F,30000,19-11-2020,Milton Keynes,England,United Kingdom,MK8 8DF
15639,21,MelanieColeman,F,10000,06-04-2022,Caloundra,Queensland,Australia,4551
15640,21,GaryGomez,M,10000,28-01-2022,Caloundra,Queensland,Australia,4551
15641,33,MarcoSara,M,10000,22-04-2022,Cranbourne,Victoria,Australia,3977
15642,35,CaraGao,F,10000,31-10-2021,Melbourne,Victoria,Australia,3000
15643,14,OmarRaji,M,10000,30-10-2021,Rhodes,New South Wales,Australia,2138
15644,4,SavannahGonzalez,F,10000,11-11-2021,Goulburn,New South Wales,Australia,2580
15645,10,JavierGill,M,20000,02-11-2021,Newcastle,New South Wales,Australia,2300
15646,31,EmmaKelly,F,10000,15-11-2021,Hobart,Tasmania,Australia,7001
15647,23,DawnHe,F,20000,06-11-2021,Gold Coast,Queensland,Australia,4217
15648,34,EdgarGonzalez,M,20000,28-10-2021,Geelong,Victoria,Australia,3220
15649,160,MelindaJimenez,F,30000,10-02-2021,Paderborn,Nordrhein-Westfalen,Germany,33098
15650,208,RonnieLi,M,20000,14-12-2022,Saint Germain en Laye,Yveline,France,78100
15651,212,AnnLopez,F,20000,13-08-2021,Morangis,Essonne,France,91420
15652,229,BarbaraWang,F,30000,17-11-2020,Berks,England,United Kingdom,SL4 1RH
15653,254,GeraldMadan,M,30000,09-11-2020,London,England,United Kingdom,W1N 9FA
15654,200,LeviFernandez,M,10000,10-06-2022,Paris,Seine (Paris),France,75012
15655,144,DeannaGomez,F,20000,22-02-2021,Essen,Hamburg,Germany,45001
15656,178,DarrylZhao,M,20000,10-02-2021,Sulzbach Taunus,Saarland,Germany,66272
15657,271,MarcusHayes,M,30000,05-11-2020,Warrington,England,United Kingdom,WA1
15658,184,VictoriaRogers,F,10000,01-09-2022,Metz,Moselle,France,57000
15659,127,AngelaRivera,F,20000,16-02-2021,Darmstadt,Hessen,Germany,64283
15660,250,AprilJai,F,20000,17-12-2020,London,England,United Kingdom,SW6 SBY
15661,269,BrandonRobinson,M,30000,06-12-2020,Stoke-on-Trent,England,United Kingdom,AS23
15662,279,MeganRichardson,F,30000,06-12-2020,York,England,United Kingdom,YO15
15663,196,MandyChen,F,30000,18-08-2021,Paris,Seine (Paris),France,75007
15664,172,JillVazquez,F,30000,01-02-2021,Offenbach,Saarland,Germany,63009
15665,198,KristiSai,F,30000,13-08-2021,Paris,Seine (Paris),France,75009
15666,205,BiancaLiang,F,10000,20-08-2021,Lieusaint,Seine et Marne,France,77127
15667,151,HectorRamos,M,30000,29-01-2021,Paderborn,Hamburg,Germany,33041
15668,273,ErickFernandez,M,40000,24-12-2020,Watford,England,United Kingdom,WA3
15669,279,PaulSuurs,F,40000,08-12-2020,York,England,United Kingdom,YO15
15670,183,SergioSánchez,M,20000,17-12-2022,Orleans,Loiret,France,45000
15671,268,LawrenceTorres,M,20000,28-02-2022,Liverpool,England,United Kingdom,L4 4HB
15672,160,KelvinNara,M,20000,24-12-2022,Paderborn,Nordrhein-Westfalen,Germany,33098
15673,209,JonGoel,M,20000,10-04-2022,Versailles,Yveline,France,78000
15674,117,TommyRaheem,M,30000,13-03-2021,Erlangen,Bayern,Germany,91054
15675,120,JayAlonso,M,40000,09-03-2021,Hof,Bayern,Germany,95010
15676,224,ToddWang,M,40000,24-08-2021,Tremblay-en-France,Seine Saint Denis,France,93290
15677,220,AlyssaBradley,F,40000,27-09-2021,Bobigny,Seine Saint Denis,France,93000
15678,212,SusanZhou,F,40000,08-09-2021,Morangis,Essonne,France,91420
15679,189,RobertPatterson,M,10000,11-05-2022,Roubaix,Nord,France,59100
15680,171,TashaShe,F,10000,05-07-2022,Neunkirchen,Saarland,Germany,66578
15681,262,EmmaGonzales,F,80000,01-02-2022,Oxford,England,United Kingdom,OX1
15682,142,HeidiGarcia,F,80000,11-01-2023,Bonn,Hamburg,Germany,53001
15683,156,JessieCarlson,F,90000,13-03-2022,Braunschweig,Nordrhein-Westfalen,Germany,38001
15684,168,TyroneSuarez,M,90000,09-03-2021,Kiel,Saarland,Germany,24044
15685,172,RobinVazquez,F,110000,25-03-2021,Offenbach,Saarland,Germany,63009
15686,244,PedroVazquez,M,130000,26-02-2022,London,England,United Kingdom,C2H 7AU
15687,211,JaySuri,M,70000,14-09-2021,Les Ulis,Essonne,France,91940
15688,196,ChaseGray,M,70000,08-09-2021,Paris,Seine (Paris),France,75007
15689,158,StaceyWang,F,90000,04-05-2022,Leipzig,Nordrhein-Westfalen,Germany,4139
15690,267,CliffordPerez,M,160000,21-10-2022,Runcorn,England,United Kingdom,TY31
15691,273,JulianHenderson,M,90000,27-12-2020,Watford,England,United Kingdom,WA3
15692,262,RyanGarcia,M,90000,30-11-2020,Oxford,England,United Kingdom,OX1
15693,127,IsabelBarnes,F,90000,28-03-2021,Darmstadt,Hessen,Germany,64283
15694,236,StephanieDiaz,F,80000,15-09-2022,Cheltenham,England,United Kingdom,GL50
15695,261,BruceGomez,M,150000,29-11-2020,Newcastle upon Tyne,England,United Kingdom,NT20
15696,222,DamienSun,M,100000,27-06-2022,Pantin,Seine Saint Denis,France,93500
15697,121,JuliaMorris,F,110000,16-03-2021,Ingolstadt,Bayern,Germany,85049
15698,162,SusanWang,F,120000,11-11-2022,Werne,Nordrhein-Westfalen,Germany,59368
15699,276,JonathonHernandez,M,170000,05-01-2021,Woolston,England,United Kingdom,WA1 4SY
15700,193,EugeneGuo,M,80000,27-09-2021,Paris,Seine (Paris),France,75003
15701,236,JillianKapoor,F,130000,29-03-2022,Cheltenham,England,United Kingdom,GL50
15702,240,RuthMehta,F,130000,09-01-2021,High Wycombe,England,United Kingdom,HP10 9QY
15703,142,AlisonChande,F,80000,28-01-2022,Bonn,Hamburg,Germany,53001
15704,134,PeterLuo,M,90000,19-08-2022,München,Hessen,Germany,80074
15705,117,GabrielSimmons,M,100000,20-05-2022,Erlangen,Bayern,Germany,91054
15706,210,TinaArthur,F,90000,12-03-2022,Saint Ouen,Somme,France,80610
15707,121,RobinRubio,F,120000,12-09-2022,Ingolstadt,Bayern,Germany,85049
15708,150,NinaJai,F,120000,23-02-2022,München,Hamburg,Germany,80074
15709,215,ChelseaPrasad,F,70000,24-03-2022,Colombes,Hauts de Seine,France,92700
15710,190,BrandyRana,F,90000,02-09-2021,Villeneuve-d'Ascq,Nord,France,59491
15711,235,JefferyLiang,M,110000,21-05-2022,Cambridge,England,United Kingdom,CB4 4BZ
15712,249,WhitneyChandra,F,130000,11-07-2022,London,England,United Kingdom,SW1P 2NU
15713,267,HannahLee,F,130000,08-11-2022,Runcorn,England,United Kingdom,TY31
15714,214,BethanyPal,F,80000,09-10-2022,Boulogne-Billancourt,Hauts de Seine,France,92100
15715,27,IsabellaAdams,F,60000,29-07-2022,Townsville,Queensland,Australia,4810
15716,24,RoyMadan,M,70000,19-11-2021,Hawthorne,Queensland,Australia,4171
15717,18,AlexiaHenderson,F,70000,11-11-2021,Sydney,New South Wales,Australia,1002
15718,3,HeatherLin,F,70000,16-09-2022,Darlinghurst,New South Wales,Australia,2010
15719,15,LaceyLiang,F,80000,23-11-2021,Silverwater,New South Wales,Australia,2264
15720,7,JaimeRamos,F,70000,10-02-2022,Malabar,New South Wales,Australia,2036
15721,40,CaraGuo,F,80000,17-06-2022,Warrnambool,Victoria,Australia,3280
15722,32,AngelaJenkins,F,80000,18-11-2021,Bendigo,Victoria,Australia,3550
15723,11,KateDeng,F,90000,08-11-2021,North Ryde,New South Wales,Australia,2113
15724,21,RogerShe,M,90000,04-11-2021,Caloundra,Queensland,Australia,4551
15725,19,TrevorPrice,M,90000,21-11-2021,Wollongong,New South Wales,Australia,2500
15726,25,FaithBarnes,F,90000,07-11-2021,Hervey Bay,Queensland,Australia,4655
15727,8,AlishaZeng,F,80000,09-05-2022,Matraville,New South Wales,Australia,2036
15728,33,KeithSharma,M,110000,08-03-2022,Cranbourne,Victoria,Australia,3977
15729,32,MayraSuri,F,90000,27-12-2021,Bendigo,Victoria,Australia,3550
15730,2,PhilipDominguez,M,90000,19-08-2022,Coffs Harbour,New South Wales,Australia,2450
15731,19,CoreyChavez,M,80000,26-03-2022,Wollongong,New South Wales,Australia,2500
15732,17,SandraZhu,F,120000,12-12-2021,St. Leonards,New South Wales,Australia,2065
15733,26,LeslieRamos,F,120000,08-12-2021,Rockhampton,Queensland,Australia,4700
15734,19,AliciaLal,F,100000,25-12-2021,Wollongong,New South Wales,Australia,2500
15735,3,LoriBlanco,F,100000,21-06-2022,Darlinghurst,New South Wales,Australia,2010
15736,300,SheenaRaje,F,110000,07-11-2022,Beverly Hills,California,United States,90210
15737,626,AlexanderRobinson,M,120000,02-09-2021,Lynnwood,Washington,United States,98036
15738,374,AbigailMiller,F,120000,16-12-2022,Torrance,California,United States,90505
15739,369,GarrettRogers,M,70000,28-08-2021,Santa Monica,California,United States,90401
15740,536,JohnnyKumar,M,80000,18-09-2022,Beaverton,Oregon,United States,97005
15741,385,IsabellaAllen,F,80000,20-10-2022,Woodland Hills,California,United States,91364
15742,352,GraceThompson,F,90000,16-02-2022,Palo Alto,California,United States,94303
15743,623,ChloeThompson,F,120000,24-11-2022,Kirkland,Washington,United States,98033
15744,614,AngelaGray,F,120000,16-08-2022,Edmonds,Washington,United States,98020
15745,609,JulianHayes,M,120000,30-08-2022,Bellingham,Washington,United States,98225
15746,626,EmilyWalker,F,120000,03-12-2022,Lynnwood,Washington,United States,98036
15747,307,EvanNelson,M,70000,05-09-2022,Chula Vista,California,United States,91910
15748,54,AustinJenkins,M,70000,29-05-2022,N. Vancouver,British Columbia,Canada,V7L 4J4
15749,611,GraceBrown,F,70000,17-01-2023,Bremerton,Washington,United States,98312
15750,298,KaitlinMartinez,F,70000,08-09-2021,Bellflower,California,United States,90706
15751,32,KristenXu,F,80000,21-12-2021,Bendigo,Victoria,Australia,3550
15752,10,BobbyRodriguez,M,80000,08-12-2021,Newcastle,New South Wales,Australia,2300
15753,27,MargaretLi,F,70000,09-12-2021,Townsville,Queensland,Australia,4810
15754,11,CrystalXu,F,70000,04-12-2021,North Ryde,New South Wales,Australia,2113
15755,39,ConnorFlores,M,70000,24-12-2021,Sunbury,Victoria,Australia,3429
15756,28,KariGutierrez,F,70000,25-12-2021,Cloverdale,South Australia,Australia,6105
15757,28,EdwinFerrier,M,70000,24-12-2021,Cloverdale,South Australia,Australia,6105
15758,38,ArturoAndersen,M,130000,05-01-2023,South Melbourne,Victoria,Australia,3205
15759,536,ErinBrooks,F,80000,21-03-2022,Beaverton,Oregon,United States,97005
15760,54,RichardJames,M,30000,23-03-2022,N. Vancouver,British Columbia,Canada,V7L 4J4
15761,57,XavierThompson,M,30000,03-10-2022,Newton,British Columbia,Canada,V2M1P1
15762,59,GarrettStewart,M,30000,25-06-2022,Oak Bay,British Columbia,Canada,V8P
15763,644,XavierYoung,M,60000,08-09-2021,Walla Walla,Washington,United States,99362
15764,40,LouisGuo,M,120000,07-12-2021,Warrnambool,Victoria,Australia,3280
15765,32,GilbertDeng,M,130000,22-12-2021,Bendigo,Victoria,Australia,3550
15766,36,PriscillaBlack,F,160000,29-01-2022,Melton,Victoria,Australia,3337
15767,37,GeorgePrasad,M,160000,21-12-2021,Seaford,Victoria,Australia,3198
15768,334,VictoriaWalker,F,130000,05-10-2021,Lakewood,California,United States,90712
15769,335,KellyColeman,F,130000,05-10-2021,Lemon Grove,California,United States,91945
15770,372,XavierBrooks,M,150000,12-10-2021,Spring Valley,California,United States,91977
15771,543,MariaDiaz,F,130000,23-10-2021,Lebanon,Oregon,United States,97355
15772,361,ChristopherAnderson,M,70000,19-07-2022,San Gabriel,California,United States,91776
15773,336,DylanJenkins,M,70000,27-07-2022,Lincoln Acres,California,United States,91950
15774,634,NatalieKelly,F,60000,08-04-2022,Redmond,Washington,United States,98052
15775,609,MichelleWard,F,60000,17-08-2022,Bellingham,Washington,United States,98225
15776,345,JesseMitchell,M,60000,26-05-2022,Newport Beach,California,United States,92625
15777,637,BriannaSmith,F,60000,20-04-2022,Seattle,Washington,United States,98104
15778,616,JoséMiller,M,70000,21-10-2021,Everett,Washington,United States,98201
15779,611,JacksonHayes,M,70000,21-05-2022,Bremerton,Washington,United States,98312
15780,301,ClaudiaMcDonald,F,70000,10-10-2021,Burbank,California,United States,91502
15781,360,BlakeEvans,M,80000,17-10-2021,San Francisco,California,United States,94109
15782,648,KatelynCollins,F,90000,15-12-2022,Yakima,Washington,United States,98901
15783,31,DavidAlexander,M,90000,10-07-2022,Hobart,Tasmania,Australia,7001
15784,26,RebekahVazquez,F,90000,14-12-2021,Rockhampton,Queensland,Australia,4700
15785,36,EdwinZhang,M,70000,29-11-2021,Melton,Victoria,Australia,3337
15786,34,MarshallAndersen,M,70000,27-12-2021,Geelong,Victoria,Australia,3220
15787,17,CynthiaGonzalez,F,60000,26-04-2022,St. Leonards,New South Wales,Australia,2065
15788,35,BarbaraLi,F,100000,17-12-2021,Melbourne,Victoria,Australia,3000
15789,26,SteveSchmidt,F,110000,01-12-2021,Rockhampton,Queensland,Australia,4700
15790,31,ColinXu,M,60000,12-12-2021,Hobart,Tasmania,Australia,7001
15791,18,MeganLong,F,60000,11-03-2022,Sydney,New South Wales,Australia,1002
15792,30,ErnestZhou,M,60000,03-12-2021,Perth,South Australia,Australia,6006
15793,2,ReneeNavarro,F,70000,17-12-2021,Coffs Harbour,New South Wales,Australia,2450
15794,26,TonyaChander,F,80000,23-03-2022,Rockhampton,Queensland,Australia,4700
15795,16,DianeMunoz,F,80000,13-04-2022,Springwood,New South Wales,Australia,2777
15796,39,EdwardHayes,M,80000,24-12-2022,Sunbury,Victoria,Australia,3429
15797,19,IsaacCox,M,80000,29-11-2021,Wollongong,New South Wales,Australia,2500
15798,33,AnneMunoz,F,70000,12-04-2022,Cranbourne,Victoria,Australia,3977
15799,32,VictoriaAnderson,F,90000,12-12-2021,Bendigo,Victoria,Australia,3550
15800,5,AlbertoSerrano,M,90000,29-11-2021,Lane Cove,New South Wales,Australia,1597
15801,22,KatrinaShen,F,70000,26-12-2021,East Brisbane,Queensland,Australia,4169
15802,14,BridgetKumar,F,70000,24-12-2021,Rhodes,New South Wales,Australia,2138
15803,35,BradleyGoel,M,70000,28-07-2022,Melbourne,Victoria,Australia,3000
15804,10,BrittneyLiu,F,70000,12-12-2022,Newcastle,New South Wales,Australia,2300
15805,16,DawnLin,F,70000,09-12-2022,Springwood,New South Wales,Australia,2777
15806,19,DevinAllen,M,70000,26-02-2022,Wollongong,New South Wales,Australia,2500
15807,8,ScotSchulte,M,70000,31-03-2022,Matraville,New South Wales,Australia,2036
15808,40,NatashaBlanco,F,70000,03-12-2021,Warrnambool,Victoria,Australia,3280
15809,13,ChristianSharma,M,70000,22-02-2022,Port Macquarie,New South Wales,Australia,2444
15810,37,ReginaKapoor,F,70000,07-04-2022,Seaford,Victoria,Australia,3198
15811,15,BarbaraSchultz,M,70000,06-04-2022,Silverwater,New South Wales,Australia,2264
15812,23,LoganAllen,M,30000,20-05-2022,Gold Coast,Queensland,Australia,4217
15813,355,JulianDiaz,M,30000,12-09-2022,Redwood City,California,United States,94063
15814,302,MonicaSubram,F,40000,10-10-2022,Burlingame,California,United States,94010
15815,51,NicolePrice,F,40000,19-04-2022,Langford,British Columbia,Canada,V9
15816,50,VictoriaMiller,F,40000,21-02-2022,Haney,British Columbia,Canada,V2W 1W2
15817,536,ChloeAlexander,F,40000,13-05-2022,Beaverton,Oregon,United States,97005
15818,609,StanleyPerez,M,40000,15-12-2022,Bellingham,Washington,United States,98225
15819,633,SavannahCox,F,30000,10-09-2022,Puyallup,Washington,United States,98371
15820,618,ChaseWard,M,30000,02-02-2022,Issaquah,Washington,United States,98027
15821,383,LoganAnderson,M,30000,03-02-2022,West Covina,California,United States,91791
15822,29,DamienZhu,M,40000,22-06-2022,Findon,South Australia,Australia,5023
15823,32,SharonTang,F,60000,15-05-2022,Bendigo,Victoria,Australia,3550
15824,310,LindsayKumar,F,30000,16-03-2022,Colma,California,United States,94014
15825,637,AngelaSimmons,F,40000,14-01-2023,Seattle,Washington,United States,98104
15826,53,MarissaPrice,F,30000,16-02-2022,Metchosin,British Columbia,Canada,V9
15827,614,DanielleWard,F,40000,19-10-2021,Edmonds,Washington,United States,98020
15828,29,RobynRamos,F,30000,02-05-2022,Findon,South Australia,Australia,5023
15829,35,DevinDiaz,M,40000,03-05-2022,Melbourne,Victoria,Australia,3000
15830,8,NaomiAlonso,F,40000,20-12-2021,Matraville,New South Wales,Australia,2036
15831,12,OmarHe,M,40000,05-12-2021,North Sydney,New South Wales,Australia,2055
15832,28,ManuelMartinez,M,40000,24-12-2021,Cloverdale,South Australia,Australia,6105
15833,38,TabithaKovar,F,60000,10-12-2021,South Melbourne,Victoria,Australia,3205
15834,644,RebeccaGreen,F,40000,14-10-2021,Walla Walla,Washington,United States,99362
15835,315,MarcusSmith,M,40000,06-12-2022,Downey,California,United States,90241
15836,343,DevinJackson,M,40000,14-10-2022,National City,California,United States,91950
15837,611,JuliaJohnston,F,40000,15-07-2022,Bremerton,Washington,United States,98312
15838,322,JuliaTaylor,F,30000,29-04-2022,Fremont,California,United States,94536
15839,369,WilliamTaylor,M,30000,06-05-2022,Santa Monica,California,United States,90401
15840,552,NataliePeterson,F,70000,04-10-2021,W. Linn,Oregon,United States,97068
15841,338,LuisShan,M,80000,12-10-2021,Los Angeles,California,United States,90012
15842,641,HaleyGray,F,80000,14-10-2021,Spokane,Washington,United States,99202
15843,648,CalebWright,M,80000,18-10-2021,Yakima,Washington,United States,98901
15844,326,MeganBrown,F,80000,21-10-2021,Grossmont,California,United States,91941
15845,545,MackenzieCarter,F,80000,22-10-2021,Milwaukie,Oregon,United States,97222
15846,53,JulianFlores,M,80000,11-07-2022,Metchosin,British Columbia,Canada,V9
15847,70,EdwardWhite,M,90000,14-05-2022,Westminster,British Columbia,Canada,V3L 1E7
15848,547,GabrielleHernandez,F,90000,27-12-2022,Portland,Oregon,United States,97205
15849,641,DestinyKelly,F,110000,13-06-2022,Spokane,Washington,United States,99202
15850,69,RachelBradley,F,110000,05-07-2022,Victoria,British Columbia,Canada,V8V
15851,616,TaylorAnderson,F,110000,28-09-2021,Everett,Washington,United States,98201
15852,368,OscarHenderson,M,120000,18-10-2021,Santa Cruz,California,United States,95062
15853,339,JasmineBrown,F,120000,27-06-2022,Mill Valley,California,United States,94941
15854,315,MirandaWood,F,120000,13-06-2022,Downey,California,United States,90241
15855,368,NoahJones,M,80000,30-09-2022,Santa Cruz,California,United States,95062
15856,51,LuisGonzales,M,90000,28-01-2022,Langford,British Columbia,Canada,V9
15857,307,IsabellaWhite,F,60000,23-10-2022,Chula Vista,California,United States,91910
15858,311,JonathanParker,M,60000,22-07-2022,Concord,California,United States,94519
15859,69,AbigailRamirez,F,60000,22-04-2022,Victoria,British Columbia,Canada,V8V
15860,609,JoeMoreno,M,40000,01-10-2021,Bellingham,Washington,United States,98225
15861,299,DamienZhao,M,40000,01-02-2022,Berkeley,California,United States,94704
15862,301,SriniwaNarayanan,F,50000,15-10-2021,Burbank,California,United States,91502
15863,53,AdamScott,M,50000,06-04-2022,Metchosin,British Columbia,Canada,V9
15864,68,LaurenBailey,F,50000,08-05-2022,Vancouver,British Columbia,Canada,V7L 4J4
15865,352,IsabelPrice,F,40000,22-10-2021,Palo Alto,California,United States,94303
15866,54,AbigailWhite,F,60000,14-03-2022,N. Vancouver,British Columbia,Canada,V7L 4J4
15867,633,VictoriaWhite,F,60000,13-12-2022,Puyallup,Washington,United States,98371
15868,66,CalebLal,M,60000,19-05-2022,Sooke,British Columbia,Canada,V0
15869,632,AlexandraHall,F,60000,05-03-2022,Port Orchard,Washington,United States,98366
15870,539,ZoeHoward,F,60000,18-05-2022,Corvallis,Oregon,United States,97330
15871,633,RyanJai,M,60000,29-03-2022,Puyallup,Washington,United States,98371
15872,69,GabriellaGonzalez,F,50000,02-11-2022,Victoria,British Columbia,Canada,V8V
15873,326,HaileyRichardson,F,70000,24-10-2021,Grossmont,California,United States,91941
15874,66,SamuelMartin,M,70000,27-02-2022,Sooke,British Columbia,Canada,V0
15875,369,DevinMorris,M,70000,08-04-2022,Santa Monica,California,United States,90401
15876,53,EduardoTurner,M,70000,10-07-2022,Metchosin,British Columbia,Canada,V9
15877,299,JordanPerez,M,70000,26-12-2022,Berkeley,California,United States,94704
15878,59,KevinFlores,M,70000,11-03-2022,Oak Bay,British Columbia,Canada,V8P
15879,66,TylerWilson,M,70000,06-04-2022,Sooke,British Columbia,Canada,V0
15880,641,PatrickBailey,M,70000,16-03-2022,Spokane,Washington,United States,99202
15881,55,DestinyWilliams,F,60000,08-03-2022,Newton,British Columbia,Canada,V2L3W8
15882,536,MauriceXie,M,60000,28-09-2021,Beaverton,Oregon,United States,97005
15883,312,TristanColeman,M,60000,04-04-2022,Coronado,California,United States,92118
15884,314,DakotaBradley,M,60000,07-05-2022,Daly City,California,United States,94015
15885,638,GarrettSanchez,M,60000,30-10-2021,Sedro Woolley,Washington,United States,98284
15886,335,MatthewBrown,M,60000,24-11-2021,Lemon Grove,California,United States,91945
15887,611,DeannaVazquez,F,60000,25-12-2022,Bremerton,Washington,United States,98312
15888,627,AmandaRichardson,F,70000,27-11-2021,Marysville,Washington,United States,98270
15889,50,RobertWright,M,70000,19-07-2022,Haney,British Columbia,Canada,V2W 1W2
15890,315,JamesRussell,M,60000,20-11-2021,Downey,California,United States,90241
15891,331,JordanLopez,M,70000,26-12-2022,La Jolla,California,United States,92806
15892,607,PamelaSrini,F,40000,28-10-2021,Ballard,Washington,United States,98107
15893,609,YolandaXu,F,40000,10-11-2021,Bellingham,Washington,United States,98225
15894,609,JoannaGutierrez,F,40000,05-04-2022,Bellingham,Washington,United States,98225
15895,316,SophiaParker,F,60000,24-06-2022,El Cajon,California,United States,92020
15896,352,SamuelJones,M,60000,04-09-2022,Palo Alto,California,United States,94303
15897,385,HaleyCooper,F,70000,04-11-2021,Woodland Hills,California,United States,91364
15898,648,IsaiahGonzalez,M,60000,05-11-2022,Yakima,Washington,United States,98901
15899,369,IanJames,M,70000,20-11-2021,Santa Monica,California,United States,90401
15900,50,WyattRoberts,M,40000,08-03-2022,Haney,British Columbia,Canada,V2W 1W2
15901,616,TaylorBryant,F,60000,02-11-2021,Everett,Washington,United States,98201
15902,632,RobertDiaz,M,60000,02-11-2021,Port Orchard,Washington,United States,98366
15903,299,AbigailBarnes,F,60000,27-11-2021,Berkeley,California,United States,94704
15904,307,JaniceBennett,F,60000,15-11-2021,Chula Vista,California,United States,91910
15905,52,TaylorTaylor,F,70000,12-07-2022,Langley,British Columbia,Canada,V3A 4R2
15906,66,KaitlynLewis,F,70000,11-07-2022,Sooke,British Columbia,Canada,V0
15907,648,StevenBailey,M,60000,01-10-2022,Yakima,Washington,United States,98901
15908,329,DavidWilson,M,60000,26-11-2021,Imperial Beach,California,United States,91932
15909,334,CassidyRoss,F,60000,21-11-2021,Lakewood,California,United States,90712
15910,358,CalebHughes,M,70000,22-03-2022,San Carlos,California,United States,94070
15911,611,MariaBaker,F,60000,07-10-2022,Bremerton,Washington,United States,98312
15912,369,MyaSimmons,F,60000,06-06-2022,Santa Monica,California,United States,90401
15913,55,AntonioHughes,M,60000,27-03-2022,Newton,British Columbia,Canada,V2L3W8
15914,633,LoganBryant,M,70000,16-11-2021,Puyallup,Washington,United States,98371
15915,331,AlexCox,M,70000,28-10-2021,La Jolla,California,United States,92806
15916,62,BrandonWalker,M,70000,04-08-2022,Royal Oak,British Columbia,Canada,V8X
15917,49,EmilyWhite,F,70000,18-08-2022,Cliffside,British Columbia,Canada,V8Y 1L1
15918,612,RobertoRuiz,M,70000,02-11-2021,Burien,Washington,United States,98168
15919,241,RebekahPrasad,F,130000,03-08-2022,Kirkby,England,United Kingdom,KB9
15920,207,ColinWu,M,100000,26-09-2021,Chatou,Yveline,France,78400
15921,207,DonaldPatel,M,100000,02-09-2021,Chatou,Yveline,France,78400
15922,240,RogerKumar,M,150000,16-02-2022,High Wycombe,England,United Kingdom,HP10 9QY
15923,205,RicardoRaje,M,100000,31-08-2021,Lieusaint,Seine et Marne,France,77127
15924,183,OmarWang,M,100000,14-09-2021,Orleans,Loiret,France,45000
15925,209,StanleySubram,M,110000,14-09-2021,Versailles,Yveline,France,78000
15926,153,DonnaDeng,F,120000,01-03-2021,Berlin,Nordrhein-Westfalen,Germany,14197
15927,164,GilbertHuang,M,120000,07-03-2021,Berlin,Saarland,Germany,12311
15928,171,PriscillaPal,F,120000,22-03-2021,Neunkirchen,Saarland,Germany,66578
15929,258,KarlaRaji,F,150000,10-01-2021,Maidenhead,England,United Kingdom,SL67RJ
15930,200,TiffanyHe,F,100000,06-09-2022,Paris,Seine (Paris),France,75012
15931,213,MicahXu,M,110000,26-09-2021,Verrieres Le Buisson,Essonne,France,91370
16165,8,JennyLiu,F,70000,09-07-2022,Matraville,New South Wales,Australia,2036
15932,178,TabithaJimenez,F,130000,06-03-2021,Sulzbach Taunus,Saarland,Germany,66272
15933,260,ClintonDominguez,M,160000,23-01-2021,Milton Keynes,England,United Kingdom,MK8 8ZD
15934,609,NicholeRaji,F,70000,20-11-2021,Bellingham,Washington,United States,98225
15935,536,AmberKing,F,70000,18-04-2022,Beaverton,Oregon,United States,97005
15936,553,AbigailJohnson,F,90000,01-11-2022,Woodburn,Oregon,United States,97071
15937,609,GraceLewis,F,90000,29-10-2021,Bellingham,Washington,United States,98225
15938,634,SeanCollins,M,100000,25-10-2022,Redmond,Washington,United States,98052
15939,642,JenniferBrown,F,100000,02-07-2022,Tacoma,Washington,United States,98403
15940,553,JackBryant,M,100000,27-02-2022,Woodburn,Oregon,United States,97071
15941,322,BaileyBrooks,F,120000,24-11-2021,Fremont,California,United States,94536
15942,66,LucasRodriguez,M,80000,08-07-2022,Sooke,British Columbia,Canada,V0
15943,69,RichardWatson,M,80000,20-03-2022,Victoria,British Columbia,Canada,V8V
15944,611,DamienLu,M,90000,05-11-2021,Bremerton,Washington,United States,98312
15945,633,AlexandriaKelly,F,100000,31-07-2022,Puyallup,Washington,United States,98371
15946,298,WyattWilson,M,110000,22-04-2022,Bellflower,California,United States,90706
15947,307,MichelleBlue,F,120000,30-08-2022,Chula Vista,California,United States,91910
15948,335,AngelaHughes,F,130000,30-10-2021,Lemon Grove,California,United States,91945
